SMILES,activity
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0
ONC(=O)C1(CCOCC1)NS(=O)(=O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1,0
NC(=O)N(O)[C@H]1C[C@@H](OC2=CC=CC(OC3=CC=C(F)C=C3)=C2)C=C1,1
OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,1
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,0
O=NN(C1=CC=CC=C1)C1=CC=CC=C1,1
C1OC1C1CCC2OC2C1,0
N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,0
CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)C)[N+]([O-])=O,0
CCSC(=O)N1CCCCCC1,1
O=C1CCCCCN1,0
OC1=CC=CC2=CC=CN=C12,0
[O-]C(=O)C(Cl)(Cl)Cl,0
OC(=O)CC(O)(CC(O)=O)C(O)=O,0
CCC(C)(C)C1=CC=C(O)C=C1,1
CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C(NC5=C4C=CC(OC)=C5)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)C1=CC(OC)=C(OC)C(OC)=C1,1
CC(C)COC(=O)CCCCC(=O)OCC(C)C,0
CC(C)(C1=CC(Br)=C(O)C(Br)=C1)C1=CC(Br)=C(O)C(Br)=C1,1
O=CC1=CC=CO1,0
CCOC(=O)COC1=CC(N2N=CC(=C(C)C2=O)C(F)(F)F)=C(F)C=C1Cl,0
N#CC1=CN=CC=C1,0
CCCCCCC(C=O)=CC1=CC=CC=C1,0
COP(=O)(OC)O\C(C)=C\C(=O)N(C)C,0
O=[Si]=O,0
CCC1(C(=O)NC([O-])=NC1=O)C1=CC=CC=C1,0
CSC(C)(C)C=NO,0
CCCCOC(=O)C1=C(C=CC=C1)C(O)=O,0
CCCCN1C(=O)[C@H](NC(=O)C11CCN(CC2=CC=C(OC3=CC=C(C=C3)C(O)=O)C=C2)CC1)[C@H](O)C1CCCCC1,1
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,1
CCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCC,1
ClCCOP(=O)(OCCCl)OCCCl,0
OC(=O)CCC(O)=CC(=O)NC1(CCN(CC[C@]2(CN(C(=O)CO2)C2=CC=CC=C2)C2=CC=C(Cl)C(Cl)=C2)CC1)C1=CC=CC(F)=C1,1
OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,0
CN1C=NC2=C1C(=O)NC(=O)N2C,0
CC(C)OC(=O)NC1=CC=CC(Cl)=C1,1
OCCN(CCO)CCO,0
CC(C)C1(C)NC(=NC1=O)C1=NC=C(C)C=C1C(O)=O,0
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,0
CCOC1=NC2=C(NC=C(C(=O)NCC3=CC=CC=C3)C2=O)C=C1,0
CCCCCCCC[Si](OCC)(OCC)OCC,0
CCC(C)OC(=O)N1CCCCC1CCO,0
COC(=O)CSC1=C(Cl)C=C(F)C(=C1)\N=C1/SC(=O)N2CCCCN12,0
CCCCCCC(C)OC(=O)COC1=NC(F)=C(Cl)C(N)=C1Cl,1
NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl,0
CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1,1
NC(=O)C=C,0
CCCN(C1CCN(CC1)C(=O)C1CCNCC1)[C@@H]1CCC2=C(C1)C=C(OC)C=C2,1
CCCC(=NOCC)C1=C(O)CC(CC(C)SCC)CC1=O,1
CC(=C)C(N)=O,0
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)CC1=C3C=CC(O)=C1,0
ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,0
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
ClC1=CC=CC=C1C1=NN=C(N=N1)C1=C(Cl)C=CC=C1,0
CC1=CC=C(C=C1N=C=O)N=C=O,0
COC1=CC2=C(C=C1OC)[C@H]1[C@@H](CO2)OC2=C(C=CC3=C2C[C@@H](O3)C(C)=C)C1=O,1
OC(=O)C1=CC=CC=C1,0
COCC(C)O,0
CC1=CC=C(C)C(O)=C1C,0
CC1=C(C)C=C(O)C=C1,0
CCOCCO,0
CCOC(=O)O[C@H](C)OC(=O)C1=CC=C2N(CC3=NOC(=C3)C3=CC=C(Cl)S3)C(=CC2=C1)C(=O)NC1CCN(CC1)C(C)C,0
COC(=O)CCC(=O)OC,0
CCN(CC)N=O,0
CC(C)OP(C)(=O)OC(C)C,0
CCCN(CCC)C1=C(C(N)=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,1
OC1=NC(O)=NC(O)=N1,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
CC(C)C1=CC=CC(C(C)C)=C1NC(=O)[N-]S(=O)(=O)C1=CC(=CO1)C(C)(C)O,0
COC1=C(O)C=CC(C=O)=C1,0
OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=C(C=C1Cl)[N+]([O-])=O,1
CC(C1=CC=C(O)C=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1
CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,1
CCCOC(=O)NCCCN(C)C,0
CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,0
NC1=CC=C(C=C1)[N+]([O-])=O,0
NC1=NC(Cl)=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1,0
COC1=CC(OC)=C(C=C1)S(=O)(=O)N1C(=O)[C@@](N2C[C@H](O)C[C@H]2C(=O)N(C)C)(C2=CC(Cl)=CC=C12)C1=CC=CC=C1OC,1
CN(C)C1=CC=C(C=C1)N=NS([O-])(=O)=O,0
