smiles,active
Cc1ccc(Sc2cnc(Nc3cccc(Br)n3)s2)cc1C(=O)N(C)CCC#N,1
Cc1c(ccc(c1)OC)N,0
CCCC(CCC)c1nc(c2ccc(C(C)(C)C)cc2)c[nH]1,1
COc1ncc(c2cc(O[C@@H]3CCOC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,1
Cc1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],0
COc1ccc(cc1)OC,0
COc1ccc(c2nonc2c2cc(OC)c(OC)c(OC)c2)cc1N,1
CCOc1c(ccc(c1)C=O)O,0
CC12CC3CC(C)(C1)CC(N)(C3)C2,1
CCCCC(CC)COCC1CO1,0
c1cc(c(c(c1O)Cl)Cl)Cl,0
CC(CCC#N)C#N,0
COc1ccc(/C=C/C(=O)OCC2CCN(Cc3ccc4c(c3)OCO4)CC2)cc1O,1
CNC(=O)N(c1ccccc1)c1ccccc1,0
CCOC(=O)C(C)C(=O)C,0
COc1cc(/C=C/C(=O)/C=C/c2nc3c(C)cccc3n2C)ccc1O,1
COC(=O)CCCN1C(=O)[C@]23O[C@]4(O)[C@@H](O)C(=O)N5C(C)(C)[C@H](Cc6cccc1c26)[C@H]3[C@]45O,1
c1ccc(cc1)c1ccccc1Br,0
COC(=O)[C@]1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(=C1c1ccccc1)O,1
COC(=O)[C@@H]1c2c(oc3cc(C)cc(OC)c3c2=O)C=C[C@H]1O,1
c1c(c(cc(c1Cl)Cl)Cl)Cl,0
COc1cc2c(Nc3ccc(C#N)cc3)ncnc2cc1OCCCN1CCN(C)CC1,1
Cc1ccccc1C(=O)N,0
CCN1CCN(CCCOc2cc3ncnc(Nc4ccccc4C#N)c3cc2OC)CC1,1
Cc1c(ccc(c1)[N+](=O)[O-])N,0
C[C@@H]1CC[C@H]2[C@@](C)(C(=O)NCCCCNC(=O)[C@@]3(C)O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]3[C@@]46OO5)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,1
O=C(N/N=C/N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)c1cccc(F)c1,1
Cc1c(cc(cc1)C(=O)O)[N+](=O)[O-],0
CC(C)n1cnc2c(NCc3ccc(c4ccccn4)cc3)nc(NC[C@@H](O)CO)nc12,1
c1cc(c(c(c1Cl)O)Cl)Cl,0
C(C(CO)(CBr)CBr)O,0
Clc1cnc2nc1Nc1cccc(c1)Nc1ncc(Cl)c(n1)Nc1cccc(c1)N2,0
CC(C)(C)NC(=O)C(c1ccc(F)cc1)N(C(=O)/C=C/C(=O)c1ccc(F)cc1)C1CC1,0
COC(=O)c1ccccc1N,0
