SMILES,active
C#CC1(O)CCC2C3C(CCC21C)C4=C(CC(=O)CC4)CC3C,1
FC(F)OC(F)(F)C(F)Cl,1
CC(C)C(CC(C)N(C)C)(C#N)C1=CC=CC=C1,0
NC=1C=CN(C2CSC(CO)O2)C(=O)N1,1
C[N+]1(C)CCC23C4=C5C=CC(O)=C4OC2C(O)C=CC3C1C5,1
CC1=CC(O)CC(C)(C)C1C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC2=C(C)CC(O)CC2(C)C,1
BrC1=CC(Br)=C(C=C1Br)C2=CC(Br)=C(Br)C=C2Br,1
O=[N+]([O-])C1=CC=CC=C1,1
OC(C(O)C(=O)[O-])C(=O)[O-],0
CCOC1=CC=CC=C1OCC2CNCCO2,1
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,1
NC1CCCCC1N,1
O=C1CN=C(C2=CC=CC=N2)C3=CC(Br)=CC=C3N1,1
CC(C)(C)NCC(O)COC1=CC=CC=2NC(=O)CCC12,1
NC(=O)NN=CC=1OC(=CC1)[N+](=O)[O-],1
CCC1=C(N=CC=2NC3=CC(OC)=C(OC)C=C3C12)C(=O)OC,1
CC(C)C1=CC=CC(C(C)C)=C1O,1
CCC1(C2=CC=CC=C2)C(=O)N=C([O-])NC1=O,1
C#CCNC(=O)OCC(CNC(=O)O)C(C)CCC,1
C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C3C(C)(C)CCC(O)C32C,0
CCCCNC(=O)N1C(C2=CC=CC=C2)C3C(=O)C(C(C4=CC=CC=C4)NC3C5=CC=CC=C5)C1C6=CC=CC=C6,0
CC=1N=C2N(C(=O)C1CCN3CCC(C4=NOC5=CC(F)=CC=C45)CC3)CCCC2,1
CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)COC(=O)CCC(=O)O)C4(C)C=CC(=O)C=C14,1
CCCNC(C)C(=O)NC=1C(C)=CSC1C(=O)OC,1
OC(CNCC1=CC=CC=C1)COC2CCCC2,1
O=C(C=CC1=CC=CC(S(=O)(=O)NC2=CC=CC=C2)=C1)NO,0
CCCCC(=O)N(CC1=CC=C(C2=CC=CC=C2C=3N=NNN3)C=C1)C(C(=O)O)C(C)C,0
CCCCC(C)CC(O)C=CC1C(O)CC(=O)C1CC(=O)CCCCC(=O)OC,0
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,1
